"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Twin House","2551","237",7820000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","4","4","2025-08-28","8","28"
"Apartment","1722","160",4500000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","3","3","2025-09-02","9","2"
"Villa","8590","798",97517000,"Cash","Cairo","New Cairo City","North Investors Area",24379250,"4","4","2025-08-31","8","31"
"Apartment","2099","195",5100000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-08-24","8","24"
"Twin House","2153","200",20000000,"Cash","North Coast","Ras Al Hekma","Mountain View","","3","3","2025-05-14","5","14"
"Apartment","915","85",5600000,"Cash","Cairo","New Cairo City","The 6th Settlement","","1","1","2025-09-02","9","2"
"Twin House","1991","185",18600000,"Cash","Suez","Al Ain Al Sokhna","Azha","","3","3","2025-06-01","6","1"
"Apartment","2271","211",9307200,"Installments","Alexandria","Alexandria Compounds","","","3","3","2025-06-18","6","18"
"Duplex","2928","272",7340006,"Cash","Giza","6 October City","6 October Compounds","","4","4","2025-08-12","8","12"
"iVilla","2045","190",18500000,"Installments","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",277500,"3.0","3.0","2025-08-20","8","20"
"Penthouse","1776","165",5500000,"Cash","Cairo","New Cairo City","","","2","2","2025-07-14","7","14"
"Twin House","3003","279","","","Cairo","Mokattam","Uptown Cairo","","4","4","2025-05-22","5","22"
"Villa","3983","370",7500000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","2","2","2025-08-28","8","28"
"Villa","9149","850",65000000,"Cash","Cairo","New Cairo City","North Investors Area","","6","6","2025-07-29","7","29"
"Apartment","1399","130",2340000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-08-21","8","21"
"Townhouse","2906","270",17000000,"Cash","Giza","6 October City","Al Wahat Road","","4","4","2025-09-01","9","1"
"Apartment","1475","137",4300000,"Cash","Alexandria","Hay Sharq","","","2","2","2025-06-22","6","22"
"Villa","4036","375",5400000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","5","5","2025-09-01","9","1"
"Villa","2476","230",4200000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","3","3","2025-08-31","8","31"
"Twin House","2842","264",15850000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-31","8","31"
"Apartment","1938","180",7000000,"Cash","Giza","Sheikh Zayed City","4th District","","2","2","2025-08-31","8","31"
"Chalet","1238","115",7500000,"Cash","North Coast","Sidi Abdel Rahman","Amwaj","","2","2","2025-08-25","8","25"
"Apartment","1238","115",7500000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","2","2","2025-09-02","9","2"
"Villa","5220","485",29000000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-01","9","1"
"Villa","4521","420",21000000,"Cash","Giza","6 October City","6 October Compounds","","8","7","2025-09-01","9","1"
"Apartment","1163","108",4700000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-09-01","9","1"
"Penthouse","1604","149",15634093,"Cash","Red Sea","Hurghada","",620838,"3","3","2025-09-02","9","2"
"Apartment","1830","170",6500000,"Cash","Cairo","New Cairo City","","","2","2","2025-09-02","9","2"
"Apartment","732","68",4454804,"Cash","Red Sea","Hurghada","Hurghada Resorts",1559181,"1","1","2025-08-31","8","31"
"Townhouse","1507","140",15516000,"Installments","North Coast","Ras Al Hekma","Jefaira",775800,"5","5","2025-09-02","9","2"
